Stagione;Calciatore;Squadra;Età;Partite Giocate;Minuti Giocati;Reti;Assist;Reti Non Su Rigore;Rigori Tirati;Ammonizioni;Espulsioni;Ruolo?
2022-23;Nehuén Pérez;Udinese;22;34;2.818;2;0;2;0;7;1;Dif
2022-23;Simone Perilli;Hellas Verona;27;1;90;0;0;0;0;0;0;Por
2022-23;Mattia Perin;Juventus;29;11;948;0;0;0;0;0;0;Por
2022-23;Samuele Perisan;Empoli;24;7;630;0;0;0;0;0;0;Por
2022-23;Matteo Pessina;Monza;25;35;2.932;5;3;5;3;6;0;Cen
2022-23;Andrea Petagna;Monza;27;31;1.663;4;5;4;1;2;0;Att
2022-23;Giuseppe Pezzella;Lecce;24;16;918;0;1;0;0;2;0;Dif
2022-23;Krzysztof Piątek;Salernitana;27;33;2.140;4;5;4;1;5;0;Att
2022-23;Roberto Piccoli;Hellas Verona;21;7;192;0;0;0;0;0;0;Att
2022-23;Roberto Piccoli;Empoli;21;13;516;2;0;2;0;0;0;Att
2022-23;Charles Pickel;Cremonese;25;33;2.483;1;0;1;0;8;1;Cen
2022-23;Andrea Pinamonti;Sassuolo;23;32;2.161;5;0;5;1;3;1;Att
2022-23;Lorenzo Pirola;Salernitana;20;26;1.941;2;0;2;0;4;0;Dif
2022-23;Niccolò Pisilli;Roma;17;1;1;0;0;0;0;0;0;Cen
2022-23;Marko Pjaca;Empoli;27;17;525;0;0;0;0;1;0;Cen,Att
2022-23;Tommaso Pobega;Milan;23;19;883;2;0;2;0;4;0;Cen
2022-23;Paul Pogba;Juventus;29;6;111;0;0;0;0;0;0;Cen,Att
2022-23;Matteo Politano;Napoli;28;27;1.166;3;3;3;2;1;0;Att
2022-23;Marin Pongračić;Lecce;24;9;790;0;0;0;0;2;0;Dif
2022-23;Stefan Posch;Bologna;25;30;2.532;6;2;6;0;6;0;Dif
2022-23;Ivan Provedel;Lazio;28;38;3.413;0;0;0;0;1;0;Por
2022-23;Ignacio Pussetto;Sampdoria;26;5;152;0;0;0;0;1;0;Cen,Dif
2022-23;Niklas Pyyhtiä;Bologna;18;6;110;0;1;0;0;0;0;Cen
2022-23;Fabio Quagliarella;Sampdoria;39;23;800;1;1;1;0;2;0;Att
2022-23;Giacomo Quagliata;Cremonese;22;20;699;0;1;0;0;0;1;Dif
2022-23;Adrien Rabiot;Juventus;27;32;2.748;8;4;8;0;9;0;Cen
2022-23;Nemanja Radonjić;Torino;26;28;1.461;2;2;2;0;1;0;Cen,Att
2022-23;Ivan Radovanović;Salernitana;33;10;671;0;0;0;0;1;1;Cen,Dif
2022-23;Ionuț Andrei Radu;Cremonese;25;9;810;0;0;0;0;0;0;Por
2022-23;Ștefan Radu;Lazio;35;1;1;0;0;0;0;1;0;Att
2022-23;Antonio Raimondo;Bologna;18;2;15;0;0;0;0;0;0;Att
